PLAYER_ID,PLAYER_NAME,GP,PTS_PER_GP,IMC,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,FGM,FGA,FG%,AST,TOV,PF,TEAM_ABBREVIATION,FG_PCT_Restricted_Area,FG_PCT_In_The_Paint_(Non-RA),FG_PCT_Left_Corner_3,FG_PCT_Right_Corner_3,FG_PCT_Mid-Range,FG_PCT_Above_the_Break_3,AST_PER_GP,STL_PER_GP,BLK_PER_GP,MIN_PER_GP
1631323,Simone Fontecchio,66,10.48,23.46,-1.5,3.6999999999999997,10.7,15.9,60.0,252,548,46.0,101,68,110,DET,65.8,40.5,39.7,46.800000000000004,45.0,37.5,1.5303030303030303,0.6666666666666666,0.3484848484848485,24.90909090909091
1631338,Mouhamadou Gueye,11,2.36,22.45,-30.9,8.7,8.0,18.9,31.0,11,38,28.9,5,12,15,TOR,42.9,16.7,0.0,0.0,0.0,0.0,0.45454545454545453,0.2727272727272727,1.6363636363636365,10.909090909090908
1631367,Jacob Gilyard,41,4.22,24.25,-12.0,1.2,5.6000000000000005,11.200000000000001,57.3,60,150,40.0,137,30,39,BKN,33.300000000000004,50.0,63.2,27.3,35.699999999999996,38.3,3.341463414634146,0.8048780487804879,0.12195121951219512,17.024390243902438
1631386,Tazé Moore,4,4.5,23.02,-26.6,7.5,10.8,20.9,45.300000000000004,8,19,42.1,5,3,4,POR,77.8,0.0,0.0,0.0,0.0,20.0,1.25,0.5,0.0,10.0
1631466,Nate Williams,22,2.86,24.21,6.9,8.1,7.1,17.299999999999997,56.49999999999999,27,50,54.0,7,4,10,HOU,75.9,20.0,50.0,0.0,0.0,100.0,0.3181818181818182,0.18181818181818182,0.045454545454545456,5.863636363636363
1641705,Victor Wembanyama,71,21.44,18.98,-3.2,7.3999999999999995,27.3,31.2,56.49999999999999,551,1186,46.5,274,260,153,SAS,69.89999999999999,39.800000000000004,63.6,45.5,33.7,31.3,3.859154929577465,1.2394366197183098,3.5774647887323945,29.661971830985916
1641706,Brandon Miller,74,17.28,22.45,-10.2,2.5,11.200000000000001,23.5,55.2,476,1083,44.0,175,132,184,CHA,62.8,39.7,36.199999999999996,42.6,47.9,37.2,2.364864864864865,0.8918918918918919,0.5675675675675675,32.2027027027027
1641707,Taylor Hendricks,40,7.3,22.98,-8.1,5.3,15.9,13.5,57.8,108,240,45.0,32,27,77,UTA,70.39999999999999,42.4,45.5,41.9,23.1,31.3,0.8,0.7,0.75,21.4
1641708,Amen Thompson,62,9.55,22.45,2.1,9.5,18.4,17.299999999999997,57.599999999999994,239,446,53.6,163,90,141,HOU,68.30000000000001,38.800000000000004,0.0,16.7,29.599999999999998,15.4,2.629032258064516,1.2580645161290323,0.6129032258064516,22.403225806451612
1641709,Ausar Thompson,63,8.83,23.72,-5.3,7.7,17.299999999999997,16.1,52.2,232,480,48.3,120,84,175,DET,65.5,45.7,16.1,28.599999999999998,37.5,14.000000000000002,1.9047619047619047,1.0793650793650793,0.9365079365079365,25.126984126984127
1641710,Anthony Black,69,4.58,22.45,-1.0,2.9000000000000004,9.3,12.3,56.00000000000001,115,247,46.6,91,56,110,ORL,65.2,33.300000000000004,35.0,46.400000000000006,25.8,37.0,1.318840579710145,0.5072463768115942,0.30434782608695654,16.869565217391305
1641711,Gradey Dick,60,8.5,23.14,-13.9,2.0,8.5,16.7,54.6,189,445,42.5,68,50,87,TOR,60.0,39.5,51.1,42.6,39.300000000000004,30.599999999999998,1.1333333333333333,0.5666666666666667,0.03333333333333333,21.133333333333333
1641712,Rayan Rupert,39,3.97,21.4,-9.8,3.4000000000000004,11.5,13.100000000000001,45.1,54,161,33.5,62,31,56,POR,42.9,27.800000000000004,35.0,42.9,8.3,35.3,1.5897435897435896,0.3076923076923077,0.07692307692307693,16.23076923076923
1641713,GG Jackson,48,14.56,22.45,-7.1,4.0,11.4,23.799999999999997,55.400000000000006,241,563,42.8,59,65,64,MEM,61.8,29.9,51.5,45.5,28.1,32.0,1.2291666666666667,0.5833333333333334,0.5,25.6875
1641715,Cam Whitmore,47,12.32,25.82,-1.0,4.3999999999999995,14.799999999999999,25.5,56.10000000000001,212,467,45.4,33,46,64,HOU,62.9,37.7,36.0,38.9,37.0,36.0,0.7021276595744681,0.6382978723404256,0.3617021276595745,18.72340425531915
1641716,Jarace Walker,33,3.64,26.38,2.7,3.5999999999999996,15.9,15.5,52.7,45,110,40.9,40,17,29,IND,45.5,37.5,12.5,75.0,41.199999999999996,41.9,1.2121212121212122,0.45454545454545453,0.3333333333333333,10.303030303030303
1641717,Cason Wallace,82,6.84,24.25,3.9,3.2,7.7,12.7,61.199999999999996,217,442,49.1,120,45,129,OKC,73.6,35.099999999999994,45.9,43.5,43.9,38.7,1.4634146341463414,0.926829268292683,0.45121951219512196,20.634146341463413
1641718,Keyonte George,75,12.99,22.53,-9.3,0.7000000000000001,9.5,22.400000000000002,53.300000000000004,319,815,39.1,332,188,91,UTA,59.8,44.6,41.199999999999996,29.2,35.099999999999994,33.2,4.426666666666667,0.48,0.09333333333333334,26.973333333333333
1641720,Jalen Hood-Schifino,21,1.62,25.39,-23.0,1.7000000000000002,9.6,24.2,31.6,10,45,22.2,8,9,13,LAL,37.5,14.299999999999999,0.0,0.0,26.700000000000003,14.299999999999999,0.38095238095238093,0.14285714285714285,0.09523809523809523,5.190476190476191
1641721,Maxwell Lewis,34,0.32,21.89,-32.6,1.7999999999999998,1.9,12.7,24.6,4,21,19.0,6,10,5,LAL,28.599999999999998,0.0,50.0,0.0,25.0,0.0,0.17647058823529413,0.058823529411764705,0.029411764705882353,3.0294117647058822
1641722,Jordan Hawkins,67,7.82,22.43,-0.9,2.4,10.0,18.8,53.300000000000004,174,456,38.2,70,40,72,NOP,52.300000000000004,36.4,55.60000000000001,36.8,37.1,33.800000000000004,1.044776119402985,0.2835820895522388,0.1044776119402985,17.328358208955223
